rank,name,worldwide_box_office,movies,average
329,Amy Heckerling,514225872,9,57136208
330,Kevin Costner,513663957,3,171221319
331,Martin Brest,513585218,5,102717044
332,Baltasar Kormakur,510117890,8,63764736
333,Han Han,508961564,3,169653855
334,Jordan Peele,508630240,2,254315120
335,Roger Michell,507620826,9,56402314
336,Tarsem Singh,507334810,5,101466962
337,Mimi Leder,507012181,7,72430312
338,Steve Hickner,506207765,2,253103883
339,Jean-Jacques Annaud,505541976,10,50554198
340,Wes Anderson,498835417,10,49883542
341,Jeff Tremaine,497149836,10,49714984
342,Jason Reitman,496121722,9,55124636
343,Alexander Payne,494227827,10,49422783
344,Walter Hill,487413108,20,24370655
345,John Moore,486607662,6,81101277
346,Dominic Sena,485499998,5,97100000
347,Tate Taylor,484335279,8,60541910
348,Sharon Maguire,483725061,3,161241687
349,Mark Dindal,482928998,4,120732250
350,Gus Van Sant,478713037,17,28159590
351,Jon Amiel,474809599,8,59351200
352,Mark Steven Johnson,474487895,8,59310987
353,Xue Xiaolu,474137478,2,237068739
354,George Cukor,473646416,11,43058765
355,Nick Park,471674959,5,94334992
356,Andy Muschietti,469566806,4,117391702
357,Neil Jordan,464814406,18,25823023
358,Brian Robbins,464734306,10,46473431
359,Daniel Lee,463544285,6,77257381
360,Joseph Ruben,463461326,10,46346133
361,Penny Marshall,463390295,8,57923787
362,Robert Redford,460681656,9,51186851
363,Terry Gilliam,458914298,12,38242858
364,Darren Lynn Bousman,457051728,13,35157825
365,Les Mayfield,454924803,8,56865600
366,Tony Gilroy,454423137,3,151474379
367,Joon-ho Bong,454390955,6,75731826
368,Wolfgang Reitherman,453834257,6,75639043
369,David R. Ellis,452842101,6,75473684
370,Dean Parisot,451809289,5,90361858
371,Olivier Megaton,450102666,4,112525667
372,Joe Dante,449065098,17,26415594
373,Chirs Buck,448191819,1,448191819
374,Eric Brevig,447955627,2,223977814
375,Paul King,445994701,3,148664900
376,Michael Dougherty,445088308,3,148362769
377,David Gordon Green,443589237,16,27724327
378,George Roy Hill,442397671,12,36866473
379,Ariel Schulman,439792275,6,73298713
380,Henry Joost,439792275,6,73298713
381,Michael Gracey,437041184,1,437041184
382,Roman Polanski,436710511,19,22984764
383,Blake Edwards,436021170,27,16148932
384,Ben Affleck,435841100,5,87168220
385,Stephen Hopkins,435285893,11,39571445
386,Edgar Wright,434860791,7,62122970
387,Arthur Hiller,432875303,17,25463253
388,Bradley Cooper,432195228,2,216097614
389,Joel Zwick,428453590,4,107113398
390,Jean-Pierre Jeunet,426878001,7,60982572
391,Marc Lawrence,426607649,5,85321530
392,Clyde Geronimi,426357604,4,106589401
393,Victor Fleming,425474674,3,141824891
394,George P. Cosmatos,424545859,8,53068232
395,Adil El Arbi,424291710,3,141430570
396,Bilall Fallah,424291710,3,141430570
397,Alex Kurtzman,422571377,2,211285689
398,Jimmy Hayward,420887654,3,140295885
399,Andrew Lau,417869080,4,104467270
400,Brian Helgeland,413704605,5,82740921
401,Frank Darabont,413614222,4,103403556
402,David Soren,413319527,2,206659764
403,Steve Oedekerk,412611461,4,103152865
404,Sam Wood,408325192,2,204162596
405,David Bowers,407527835,7,58218262
406,Lawrence Kasdan,406557072,12,33879756
407,Mikael Hafstrom,405268356,7,57895479
408,Thor Freudenthal,403200144,4,100800036
409,Michael Lembeck,402585401,6,67097567
410,Mike Thurmeier,402156682,2,201078341
411,Ken Kwapis,401624979,10,40162498
412,Peter Chelsom,401280189,10,40128019
413,Bibo Bergeron,398741504,2,199370752
414,Simon Wells,397949526,7,56849932
415,Leonard Nimoy,396622967,5,79324593
416,Gilbert Lewis,395700000,3,131900000
417,Eli Roth,395680020,10,39568002
418,Roger Kumble,395539167,7,56505595
419,Stanley Kubrick,395036987,12,32919749
420,Ol Parker,395021097,3,131673699
421,Patrick Hughes,393234102,5,78646820
422,Mel Brooks,393153971,10,39315397
423,Elizabeth Banks,391970218,6,65328370
424,Pedro Almodovar,389733145,20,19486657
425,Stephen Daldry,383865170,8,47983146
426,Brian Fee,383541369,1,383541369
427,John Hamburg,382772068,4,95693017
428,Sidney Lumet,381428539,28,13622448
429,Jill Culton,379828158,2,189914079
430,Bruce Beresford,379597822,27,14059179
431,George Clooney,379485128,8,47435641
432,Albert Hughes,379227500,7,54175357
433,Kathryn Bigelow,378880503,9,42097834
434,Sam Fell,377959105,4,94489776
435,Xiaogang Feng,376634747,4,94158687
436,John Pasquin,376239359,4,94059840
437,Bob Persichetti,375332003,1,375332003
438,Rodney Rothman,375332003,1,375332003
439,Herman Yau,373664162,12,31138680
440,Takashi Yamazaki,371682856,12,30973571
441,Don Bluth,369412107,10,36941211
442,Michel Gondry,368558729,12,30713227
443,Tom Dey,368437431,4,92109358
444,Simon J. Smith,366942531,1,366942531
445,Steve Miner,366898368,14,26207026
446,Corin Hardy,365474388,2,182737194
447,Ralph Zondag,365463639,2,182731820
448,Peter Lord,363937520,2,181968760
449,John Requa,363572802,6,60595467
450,Glenn Ficarra,363572802,6,60595467
451,Frank Marshall,362188424,5,72437685
452,Pierre Morel,362075641,6,60345940
453,Stanley Tong,361562006,6,60260334
454,Jon Lucas,360993044,5,72198609
455,Scott Moore,360993044,5,72198609
456,Tom Tykwer,360284734,10,36028473
457,Eric Leighton,356148063,1,356148063
458,Penelope Spheeris,356086482,11,32371498
459,Stephen Gaghan,355868494,4,88967124
460,James Wong,355752507,4,88938127
461,Michael Moore,354058852,11,32187168
462,Lawrence Guterman,353157863,2,176578932
463,Clay Kaytis,352327887,2,176163944
